Feature Set,Model,MAE,RMSE,sMAPE,Accuracy (%)
A (Univariate),Centralized LSTM,0.40784972746477144,0.5421584385087064,44.67151682243909,90.08197609285389
A (Univariate),Centralized TCN,0.4079133980760572,0.5494649244737811,43.38853156801442,89.94831423806811
A (Univariate),Federated LSTM (IID),0.35642069578170776,0.5061464415700518,37.19947814941406,90.74076574677161
A (Univariate),Federated TCN (IID),0.3862428665161133,0.5397028229818258,41.067256927490234,90.12689914480858
A (Univariate),Federated TCN (Non-IID),0.406800776720047,0.5534164479848855,42.74494171142578,89.87602774488253
B (Top 2),Centralized LSTM,0.3947411306286097,0.5297093874300992,42.026710066483744,90.3097139227003
B (Top 2),Centralized TCN,0.45212640830583645,0.575676362111504,48.326019155601486,89.46881295824537
B (Top 2),Federated LSTM (IID),0.36538246273994446,0.5104362198594184,38.156646728515625,90.66229031196968
B (Top 2),Federated TCN (IID),0.3906191289424896,0.5386632186935488,41.90885925292969,90.14591723689662
B (Top 2),Federated TCN (Non-IID),0.46787527203559875,0.5924081949744493,48.961673736572266,89.16272880673517
C (Top 3),Centralized LSTM,0.3951316821457303,0.5318000642687314,41.960076589589974,90.27146793887921
C (Top 3),Centralized TCN,0.453652343777494,0.5728188162526006,48.63953774849053,89.52108772910815
C (Top 3),Federated LSTM (IID),0.3483961522579193,0.49778073249601756,36.0767822265625,90.89380457832117
C (Top 3),Federated TCN (IID),0.38624438643455505,0.5317491822749828,40.712196350097656,90.27239976759718
C (Top 3),Federated TCN (Non-IID),0.4411962926387787,0.5786864415525864,45.684017181396484,89.41374890460241
D (All),Centralized LSTM,0.38068413110245486,0.5145000446605683,41.05748374834097,90.58794739558533
D (All),Centralized TCN,0.39908787535598705,0.5253980203167261,42.791450968375806,90.38858430276954
D (All),Federated LSTM (IID),0.33949166536331177,0.48074069506983175,35.324798583984375,91.20552799521096
D (All),Federated TCN (IID),0.33392587304115295,0.4762446797692008,34.99278259277344,91.2877762448391
D (All),Federated TCN (Non-IID),0.36961331963539124,0.5088169141530375,38.294246673583984,90.69191322271556
