Algorithm,Feature Set,Accuracy (%),MAE,RMSE,MAPE,sMAPE
Centralized LSTM,SET 1: Intensity Only,82.12060721076888,0.527895175560447,0.6812235449345986,72.4474838910726,47.49821669071132
Centralized LSTM,SET 2: Intensity + Voltage,82.47564989371303,0.5631575494344487,0.7026895654861921,81.23619634900476,50.261799466079914
Centralized LSTM,SET 3: Top 3 (Intensity+V+Sub3),82.803979208873,0.5398319923267163,0.6804559527929556,76.98792820073896,48.7015070478018
Centralized LSTM,SET 4: Full Features,82.64934705821989,0.5755753346558103,0.7131124150131931,83.88053016248233,51.06809620324712
Centralized LSTM,SET 5: No Intensity (Control),83.13280384166933,0.5632668405225206,0.7056047787571907,80.93304133418516,49.99804083462919
Centralized TCN,SET 1: Intensity Only,81.25139778176329,0.5129562802819795,0.670238399960064,67.38350100037052,45.72354405403472
Centralized TCN,SET 2: Intensity + Voltage,81.61816405777606,0.595058152013768,0.7309655480276899,85.08493782248182,52.17426041323986
Centralized TCN,SET 3: Top 3 (Intensity+V+Sub3),81.49069130454205,0.5595328626112788,0.7069994578346721,76.13598323363856,49.3537641101231
Centralized TCN,SET 4: Full Features,82.66297122147674,0.5380292902209839,0.6891748215497502,69.4698943341103,47.09752814014917
Centralized TCN,SET 5: No Intensity (Control),82.20679146548538,0.5615510541814802,0.6967292993389617,78.06211573664223,50.245086074561584
Federated LSTM (IID),SET 1: Intensity Only,90.43919446822734,0.3093466699123382,0.4442367944464014,49.13071823120117,37.54143524169922
Federated LSTM (IID),SET 2: Intensity + Voltage,90.4774990587214,0.3208438903093338,0.4424569958261787,54.24214172363281,39.76769256591797
Federated LSTM (IID),SET 3: Top 3 (Intensity+V+Sub3),90.68189162965734,0.3120823964476585,0.4329600240261044,50.587345123291016,38.983253479003906
Federated LSTM (IID),SET 4: Full Features,90.78650644522142,0.30505545884370805,0.4280991626516786,47.71080017089844,38.129417419433594
Federated LSTM (IID),SET 5: No Intensity (Control),90.63386366475407,0.3139502242207527,0.4351916131010532,50.57200622558594,39.37276077270508
Federated TCN (IID),SET 1: Intensity Only,90.09855054158012,0.32745457291603086,0.460064599490496,53.87181091308594,40.942867279052734
Federated TCN (IID),SET 2: Intensity + Voltage,90.14439563313385,0.33184744119644166,0.4579344362479478,56.216651916503906,41.81688690185547
Federated TCN (IID),SET 3: Top 3 (Intensity+V+Sub3),90.20240458685826,0.33000448942184446,0.45523908682722347,53.59733581542969,40.74007797241211
Federated TCN (IID),SET 4: Full Features,90.4114682022812,0.3217984244227409,0.44552507789332974,50.115257263183594,39.92706298828125
Federated TCN (IID),SET 5: No Intensity (Control),90.36039764888434,0.32731048464775087,0.4478980389222125,52.165897369384766,40.714149475097656
Federated TCN (Non-IID),SET 1: Intensity Only,90.19963868586767,0.3295870691537857,0.45536760267097104,54.918636322021484,41.32806396484375
Federated TCN (Non-IID),SET 2: Intensity + Voltage,90.18422348300129,0.3292882785201073,0.45608386034239223,55.14344024658203,41.46424102783203
Federated TCN (Non-IID),SET 3: Top 3 (Intensity+V+Sub3),90.26336561357756,0.34195543080568314,0.4524065711980808,59.213829040527344,43.54821014404297
Federated TCN (Non-IID),SET 4: Full Features,90.36740314713113,0.32987071126699447,0.44757253286790466,53.23939514160156,41.228065490722656
Federated TCN (Non-IID),SET 5: No Intensity (Control),90.43791458930795,0.3259744763374329,0.4442962632125578,52.0212516784668,41.033084869384766
