,Correlation,Mutual_Info,RF_Importance
Global_active_power,1.0,0.0,0.0
Global_intensity,0.9994602050005791,3.498441198637913,0.999120435125747
Global_reactive_power,0.3503369234817107,0.1480992587466301,0.00011785085590533527
Sub_metering_1,0.39729678776362637,0.09987404295576474,9.864958538400528e-05
Sub_metering_2,0.3711785601393659,0.1558049880490988,7.565088531260831e-05
Sub_metering_3,0.5933157094895617,0.4587121998184056,0.00018334294145974281
Voltage,0.6492024619044315,0.3079121400850302,0.00014211982269964545
day_cos,0.054099790625816775,0.059290199447946,2.2205078299022602e-05
day_sin,0.21450697466792604,0.09583163245823156,4.6661349230709787e-05
hour_cos,0.10038262733833876,0.03399781244650413,0.00013308873593917338
hour_sin,0.28591766924267664,0.07402735314561237,5.999562002292509e-05
