Algorithm,Accuracy (%),MAE,RMSE,MAPE,sMAPE,Final Loss,Best Accuracy (%),Best MAE,Best RMSE,Convergence Round (>90%),Rounds Completed,Training Time (s)
FedAvg,91.11806125836236,0.3386411070823669,0.4855219735644585,43.71952438354492,35.19173049926758,0.2725961804389953,91.16832993361298,0.3378519415855407,0.48277408854452,1,5,292.67
FedProx,90.33394821685984,0.3990869522094726,0.528384700102216,60.82974624633789,43.239410400390625,0.3228512108325958,90.33394821685984,0.3990869522094726,0.528384700102216,3,5,311.05
FedNova,83.7713057388716,0.4399520456790924,0.5480213140289668,105.546630859375,59.54461669921875,0.22879453003406525,83.7713057388716,0.4399520456790924,0.5480213140289668,N/A,5,Parallel
SCAFFOLD,80.17891166315827,0.5938464999198914,0.6693316603947753,164.25735473632812,77.2492446899414,0.3412977159023285,80.4416062949933,0.5836490988731384,0.6604608137936776,N/A,5,Parallel
FedOpt,82.49738252572013,0.4325045645236969,0.5910399982194431,95.39089965820312,58.42446517944336,0.26612424850463867,83.1036504865685,0.4325045645236969,0.570567139515487,N/A,5,Parallel
FedAdam,81.15503529745398,0.4996151924133301,0.6363692699452391,118.26766967773438,69.18900299072266,0.30850985646247864,81.15503529745398,0.4996151924133301,0.6363692699452391,N/A,5,Parallel
FedYogi,36.50003007982207,2.0579185485839844,2.14430911054924,571.30859375,127.83504486083984,3.5028817653656006,81.79608931706215,0.5369849801063538,0.6147217325317889,N/A,5,Parallel
FedAdagrad,81.65320268255829,0.5151469707489014,0.6195468231976192,134.5573272705078,68.57109832763672,0.2924145460128784,81.65320268255829,0.5151469707489014,0.6195468231976192,N/A,5,Parallel
FedDyn,83.28600413682895,0.44429734349250793,0.5644093004789185,106.60103607177734,60.69927215576172,0.2426827847957611,83.97896518693837,0.42921605706214905,0.5410089320240474,N/A,5,Parallel
Clustered FL,84.77109274509557,0.3945279121398926,0.5142598431377255,89.65199279785156,55.24551773071289,0.20147253572940826,84.77109274509557,0.3945279121398926,0.5142598431377255,N/A,5,Parallel
